feature,importance_mean,importance_std
OverTime,0.185183745125641,0.02358187169162024
MaritalStatus,0.05439812294431384,0.01608839778414658
JobSatisfaction,0.04404195802603929,0.015155280692524661
BusinessTravel,0.033176466614499286,0.014937659289585632
MonthlyIncome,0.023143924589652344,0.03996225666021888
Age,0.014432579158262057,0.024901088042863628
DistanceFromHome,0.010258825182140868,0.016635936261300003
Department,0.009806543342537208,0.01807992520747753
YearsAtCompany,-0.0044435723164828606,0.022635351346371173
JobRole,-0.027523996386365324,0.014397329331658212
